key,value
あせあせ,アセアセ
アセアセ,アセアセ
アツアツ,アツアツ
あつあつ,アツアツ
アッサリ,あっさり
あっさり,あっさり
アッツアツ,アッツアツ
あっつあつ,アッツアツ
アマアマ,あまあま
あまあま,あまあま
アワワ,アワワ
あわわ,アワワ
イソイソ,いそいそ
いそいそ,いそいそ
いらいら,イライラ
イライラ,イライラ
ウキウキ,ウキウキ
うきうき,ウキウキ
うっとり,ウットリ
ウットリ,ウットリ
ウネウネ,ウネウネ
うねうね,ウネウネ
うまうま,ウマウマ
ウマウマ,ウマウマ
うろうろ,ウロウロ
ウロウロ,ウロウロ
ウロチョロ,ウロチョロ
うろちょろ,ウロチョロ
エビエビ,えびえび
えびえび,えびえび
オイオイ,オイオイ
おいおい,オイオイ
おろおろ,オロオロ
オロオロ,オロオロ
ガク,ガク
がくぶる,ガクブル
ガクブル,ガクブル
カコ,カコ
かこ,カコ
ガサガサ,ガサガサ
がさがさ,ガサガサ
カシャカシャ,カシャカシャ
かしゃかしゃ,カシャカシャ
カタッ,カタッ
かたっ,カタッ
がたっ,ガタッ
ガタッ,ガタッ
カチカチ,カチカチ
かちかち,カチカチ
カチャカチャ,カチャカチャ
かちゃかちゃ,カチャカチャ
ガチャガチャ,ガチャガチャ
がちゃがちゃ,ガチャガチャ
カッ,カッ
がつがつ,ガツガツ
ガツガツ,ガツガツ
カッチカチ,カッチカチ
かっちかち,カッチカチ
ガッチガチ,ガッチガチ
がっちがち,ガッチガチ
カッチリ,カッチリ
かっちり,カッチリ
ガッチリ,ガッチリ
がっちり,ガッチリ
ガッツ,ガッツ
ガッツリ,ガッツリ
がっつり,ガッツリ
ガップリ,ガップリ
がっぷり,ガップリ
カプカプ,カプカプ
かぷかぷ,カプカプ
ガブガブ,ガブガブ
がぶがぶ,ガブガブ
がぶり,ガブリ
ガブリ,ガブリ
ガブリッ,ガブリッ
ガヤガヤ,ガヤガヤ
がやがや,ガヤガヤ
カラカラ,カラカラ
からから,カラカラ
ガラガラ,ガラガラ
がらがら,ガラガラ
カラッ,カラッ
からっ,カラッ
ガラリ,ガラリ
がらり,ガラリ
カリ,カリ
がり,ガリ
ガリ,ガリ
カリカリ,カリカリ
かりかり,カリカリ
ガリガリ,ガリガリ
がりがり,ガリガリ
カリッ,カリッ
かりっ,カリッ
カリリ,カリリ
かりり,カリリ
カンカン,カンカン
かんかん,カンカン
ガンガン,ガンガン
がんがん,ガンガン
ギクシャク,ギクシャク
ぎくしゃく,ギクシャク
ギザギザ,ギザギザ
ぎざぎざ,ギザギザ
ギシギシ,ギシギシ
ぎしぎし,ギシギシ
キチッ,キチッ
きちっ,キチッ
キッ,キッ
ぎっしり,ギッシリ
ギッシリ,ギッシリ
キッパリ,キッパリ
きっぱり,キッパリ
ギトギト,ギトギト
ぎとぎと,ギトギト
キビ,キビ
キビキビ,キビキビ
きびきび,キビキビ
キャイキャイ,キャイキャイ
きゃいきゃい,キャイキャイ
ぎゅー,ギュー
ギュー,ギュー
ぎゅうぎゅう,ギュウギュウ
ギュウギュウ,ギュウギュウ
キュッ,キュッ
きゅっ,キュッ
ギュッ,ギュッ
ぎゅっ,ギュッ
ギュッギュッ,ギュッギュッ
ぎゅっぎゅっ,ギュッギュッ
キュン,キュン
きゅん,キュン
キョロキョロ,キョロキョロ
きょろきょろ,キョロキョロ
キラキラ,キラキラ
キラッ,キラッ
きらっ,キラッ
キラッキラ,キラッキラ
きらっきら,キラッキラ
キラリ,キラリ
きらり,キラリ
キリ,キリ
ギリギリ,ギリギリ
ぎりぎり,ギリギリ
キンキラキン,キンキラキン
きんきらりん,キンキラキン
キンキン,キンキン
きんきん,キンキン
ギンギン,ギンギン
ぎんぎん,ギンギン
ぐぃ,グイ
ぐい,グイ
グイ,グイ
グイグイ,グイグイ
ぐいぐい,グイグイ
グー,グー
ぐー,グー
ぐーん,グーン
グーン,グーン
ぐじゅー,グジュー
グジュー,グジュー
ぐじゅぐじゅ,グジュグジュ
グジュグジュ,グジュグジュ
クスクス,クスクス
くすくす,クスクス
ぐすぐす,グズグズ
グズグズ,グズグズ
グダ,グダ
ぐだ,グダ
ぐちゃぐちゃ,グチャグチャ
グチャグチャ,グチャグチャ
グッ,グッ
ぐっ,グッ
くっきり,クッキリ
クッキリ,クッキリ
ぐつぐつ,グツグツ
グツグツ,グツグツ
グデングデン,グデングデン
ぐでんぐでん,グデングデン
グニグニ,グニグニ
ぐにぐに,グニグニ
ぐび,ぐび
ぐびぐび,グビグビ
グビグビ,グビグビ
クラクラ,クラクラ
くらくら,クラクラ
グラグラ,グラグラ
ぐらぐら,グラグラ
クルクル,クルクル
くるくる,クルクル
ぐるぐる,グルグル
グルグル,グルグル
ぐるっ,グルッ
グルッ,グルッ
ぐるり,グルリ
グルリ,グルリ
ぐわっ,グワッ
グワッ,グワッ
ぐんぐん,グングン
グングン,グングン
けちけち,ケチケチ
ケチケチ,ケチケチ
けちょんけちょん,けちょんけちょん
ケチョンケチョン,
ゲンナリ,ゲンナリ
げんなり,ゲンナリ
コク,コク
ごく,ごく
ごくごく,ゴクゴク
ゴクゴク,ゴクゴク
ゴクリ,ゴクリ
ごくり,ゴクリ
ごちゃごちゃ,ゴチャゴチャ
ゴチャゴチャ,ゴチャゴチャ
こっくり,コックリ
コックリ,コックリ
ゴックン,ゴックン
ごっくん,ゴックン
コツコツ,コツコツ
こつこつ,コツコツ
ゴツゴツ,ゴツゴツ
ごつごつ,ゴツゴツ
こってり,コッテリ
コッテリ,コッテリ
コテコテ,コテコテ
ごてごて,コテコテ
コト,コト
コトコト,コトコト
コリコリ,コリコリ
こりこり,コリコリ
ゴリゴリ,ゴリゴリ
ごりごり,ゴリゴリ
ゴロ,ゴロ
ごろ,ゴロ
コロコロ,コロコロ
ころころ,コロコロ
ゴロゴロ,ゴロゴロ
ごろごろ,ゴロゴロ
ゴロッ,ゴロッ
コロン,コロン
こんがり,こんがり
コンガリ,こんがり
こんもり,こんもり
コンモリ,こんもり
ザーーッ,ザーーッ
ざーーっ,ザーーッ
ザーザー,ザーザー
ざーざー,ザーザー
サク,サク
ざく,ザク
サクサク,サクサク
さくさく,サクサク
ざくざく,ザクザク
ザクザク,ザクザク
さくっ,サクッ
サクッ,サクッ
サクッサク,サクッサク
さくっさく,サクッサク
ササッ,ササッ
ささっ,ササッ
サッ,サッ
さっ,サッ
ざっ,ザッ
ザッ,ザッ
サックサク,サックサク
さっくさく,サックサク
ざっくざく,ザックザク
ザックザク,ザックザク
サックリ,サックリ
さっくり,サックリ
ざっくり,ザックリ
ザックリ,ザックリ
さっさ,サッサ
サッサ,サッサ
さっぱり,サッパリ
サッパリ,サッパリ
ざら,ザラ
ザラ,ザラ
サラサラ,サラサラ
さらさら,サラサラ
ザラザラ,ザラザラ
ざらざら,ザラザラ
サラッ,サラッ
さらっ,サラッ
サラリ,サラリ
さらり,サラリ
ざわざわ,ザワザワ
ザワザワ,ザワザワ
じーっ,ジーッ
ジーッ,ジーッ
しこしこ,シコシコ
シコシコ,シコシコ
シズシズ,シズシズ
しずしず,シズシズ
ジタバタ,ジタバタ
じたばた,ジタバタ
じっ,じっ
じっくり,じっくり
ジックリ,じっくり
しっとり,しっとり
シットリ,しっとり
しとしと,しとしと
シトシト,しとしと
シャカシャカ,シャカシャカ
しゃかしゃか,シャカシャカ
シャキシャキ,シャキシャキ
しゃきしゃき,シャキシャキ
シャキッ,シャキッ
しゃきっ,シャキッ
シャキッシャキッ,シャキッシャキッ
しゃきっしゃきっ,シャキッシャキッ
シャクシャク,シャクシャク
しゃくしゃく,シャクシャク
しゃっきり,シャッキリ
シャッキリ,シャッキリ
シャバシャバ,シャバシャバ
しゃばしゃば,シャバシャバ
しゃぶしゃぶ,シャブシャブ
シャブシャブ,シャブシャブ
じゃぶじゃぶ,ジャブジャブ
ジャブジャブ,ジャブジャブ
シャリ,シャリ
しゃり,シャリ
シャリシャリ,シャリシャリ
しゃりしゃり,シャリシャリ
シャンシャン,シャンシャン
しゃんしゃん,シャンシャン
じゃんじゃん,ジャンジャン
ジャンジャン,ジャンジャン
ジュー,ジュー
じゅー,ジュー
ジューシー,ジューシー
ジュージュー,ジュージュー
じゅーじゅー,ジュージュー
ジュウジュウ,ジュウジュウ
じゅうじゅう,ジュウジュウ
しゅっ,しゅっ
ジュッ,ジュッ
じゅっ,ジュッ
シュワ,シュワ
しゅわ,シュワ
ジュワ,ジュワ
じゅわ,ジュワ
ジュワァ,ジュワァ
じゅわぁ,ジュワァ
じゅわー,ジュワー
ジュワー,ジュワー
ジュワーッ,ジュワーッ
しゅわしゅわ,シュワシュワ
シュワシュワ,シュワシュワ
じゅわじゅわ,ジュワジュワ
ジュワジュワ,ジュワジュワ
じゅわじゅわっ,ジュワジュワッ
ジュワジュワッ,ジュワジュワッ
シュワッ,シュワッ
しゅわっ,シュワッ
ジュワッ,ジュワッ
じゅわっ,ジュワッ
ジュワワッ,ジュワワッ
じゅわわっ,ジュワワッ
じゅん,ジュン
ジュン,ジュン
ジョバ,ジョバ
じょば,ジョバ
じりじり,ジリジリ
ジリジリ,ジリジリ
ジロジロ,ジロジロ
じろじろ,ジロジロ
ジワ,ジワ
じわじわ,ジワジワ
ジワジワ,ジワジワ
じわっ,ジワッ
ジワッ,ジワッ
じわり,じわり
ジワリ,じわり
しん,しん
シンシン,シンシン
しんしん,シンシン
しんなり,しんなり
シンナリ,しんなり
じんわり,じんわり
ジンワリ,じんわり
スイスイ,スイスイ
すいすい,スイスイ
ズーーーーッ,ズーーーーッ
ずーーーーっ,ズーーーーッ
スーッ,スーッ
すーっ,スーッ
ずーっ,ずーっ
ズーッ,ずーっ
スカスカ,スカスカ
すかすか,スカスカ
スキッ,スキッ
すきっ,スキッ
スコーン,スコーン
すこーん,スコーン
ズシッ,ズシッ
ずしっ,ズシッ
ずしり,ずしり
ズシン,ズシン
ずしん,ズシン
すっ,スッ
スッ,スッ
すっきり,スッキリ
スッキリ,スッキリ
ズッゴーーーン,ズッゴーーーン
ずっごーーーん,ズッゴーーーン
ずっしり,ずっしり
ズッシリ,ずっしり
ズドン,ズドン
ずどん,ズドン
ズバリ,ズバリ
ずばり,ズバリ
ズラッ,ズラッ
ずらっ,ズラッ
ずらり,ズラリ
ズラリ,ズラリ
スル,スル
スルー,スルー
するー,スルー
するする,スルスル
スルスル,スルスル
ズルズル,ズルズル
ずるずる,ズルズル
ズンズン,ズンズン
ずんずん,ズンズン
スンスンスン,スンスンスン
すんすんすん,スンスンスン
すんなり,スンナリ
スンナリ,スンナリ
せっせ,せっせ
そ〜,そ〜
ソ〜,そ〜
ゾクゾク,ゾクゾク
ぞくぞく,ゾクゾク
そそくさ,そそくさ
ソソクサ,そそくさ
そっ,そっ
ソッ,そっ
そろそろ,そろそろ
ソロソロ,そろそろ
ゾロゾロ,ゾロゾロ
ぞろぞろ,ゾロゾロ
そわそわ,ソワソワ
ソワソワ,ソワソワ
だくだく,だくだく
ダクダク,だくだく
たた,タタ
タタ,タタ
タタン,タタン
たたん,タタン
たった,たった
タッタ,たった
たっぷり,たっぷり
タップリ,たっぷり
たぷたぷ,たぷたぷ
タプタプ,たぷたぷ
ダラダラ,ダラダラ
だらだら,ダラダラ
タルタル,タルタル
たるたる,タルタル
タン,タン
たんたん,タンタン
タンタン,タンタン
チーン,チーン
ちびちび,ちびちび
チビチビ,ちびちび
ちびりちびり,ちびりちびり
チビリチビリ,ちびりちびり
チャッチャカ,チャッチャカ
ちゃっちゃか,チャッチャカ
チャリ,チャリ
ちゃり,チャリ
チャン,チャン
チョイ,チョイ
ちょびちょび,ちょびちょび
チョビチョビ,ちょびちょび
ちょびっ,ちょびっ
チョビッ,ちょびっ
チラチラ,チラチラ
ちらちら,チラチラ
チラッ,チラッ
ちらっ,チラッ
チラホラ,チラホラ
ちらほら,チラホラ
チラリ,チラリ
ちらり,チラリ
ちり,ちり
ちりん,ちりん
チリン,ちりん
チン,チン
ちん,チン
つけつけ,つけつけ
ツケツケ,つけつけ
ツブツブ,ツブツブ
つぶつぶ,ツブツブ
つやつや,ツヤツヤ
ツヤツヤ,ツヤツヤ
つらつら,つらつら
ツラツラ,つらつら
つる,つる
つるつる,ツルツル
ツルツル,ツルツル
つるり,つるり
ツルリ,つるり
ツン,ツン
デーン,デーン
でかでか,でかでか
デカデカ,でかでか
てきぱき,テキパキ
テキパキ,テキパキ
てくてく,テクテク
テクテク,テクテク
でっぷり,でっぷり
デップリ,でっぷり
どうどう,どうどう
ドウドウ,どうどう
どぉ,どぉ
どー,どー
ドー,どー
とーーーーん,ドーーーーン
ドーーーーン,ドーーーーン
どーん,ドーン
ドーン,ドーン
どかっ,どかっ
ドカッ,どかっ
ドカン,ドカン
どかん,ドカン
ドキドキ,ドキドキ
どきどき,ドキドキ
どくどく,どくどく
ドクドク,どくどく
トコトコ,トコトコ
とことこ,トコトコ
ドサ,ドサ
ドシドシ,ドシドシ
どしどし,ドシドシ
どしり,どしり
ドシリ,どしり
どすーん,どすーん
ドスーン,どすーん
ドスッ,ドスッ
ドスン,ドスン
どすん,ドスン
ドタバタ,ドタバタ
どたばた,ドタバタ
どっ,どっ
どっか,どっか
ドッカ,どっか
どっさり,どっさり
ドッサリ,どっさり
どっしり,どっしり
ドッシリ,どっしり
とっとと,とっとと
どっぷり,どっぷり
ドップリ,どっぷり
どど,どど
ドドッ,ドドッ
ドバー,ドバー
どばー,ドバー
ドバーッ,ドバーッ
どばーっ,ドバーッ
ドバっ,ドバっ
ドバッ,ドバッ
どばっ,ドバッ
とぼとぼ,とぼとぼ
トボトボ,とぼとぼ
トロ,トロ
ドロ,ドロ
トロォ,トロォ
トロォリ,トロォリ
トローリ,トローリ
トロッ,トロッ
とろっ,トロッ
とろとろ,トロトロ
トロトロ,トロトロ
ドロドロ,ドロドロ
どろどろ,ドロドロ
とろり,トロリ
トロリ,トロリ
とろん,とろん
どろん,どろん
とん,とん
トントン,トントン
とんとん,トントン
どんどん,どんどん
ドンドン,どんどん
なみなみ,なみなみ
ナミナミ,なみなみ
ニコッ,ニコッ
にこっ,ニコッ
ニコニコ,ニコニコ
にこにこ,ニコニコ
にこり,ニコリ
ニコリ,ニコリ
にっこにこ,にっこにこ
ニッコニコ,にっこにこ
ニッコリ,ニッコリ
にっこり,ニッコリ
ニヤニヤ,ニヤニヤ
にやにや,ニヤニヤ
ニヤリ,ニヤリ
にやり,ニヤリ
にゅっ,にゅっ
ニュッ,にゅっ
ニンマリ,ニンマリ
にんまり,ニンマリ
ヌルヌル,ヌルヌル
ぬるぬる,ヌルヌル
ネチャッ,ネチャッ
ねちゃっ,ネチャッ
ねっちり,ねっちり
ネッチリ,ねっちり
ねっとり,ネットリ
ネットリ,ネットリ
ねんねん,ねんねん
ネンネン,ねんねん
のこのこ,のこのこ
ノコノコ,のこのこ
のびのび,のびのび
ノビノビ,のびのび
ノホホン,ノホホン
のほほん,ノホホン
ノリノリ,ノリノリ
のりのり,ノリノリ
ノロノロ,ノロノロ
のろのろ,ノロノロ
のんびり,のんびり
ノンビリ,のんびり
ハァハァ,ハァハァ
はぁはぁ,ハァハァ
パカ,パカ
パカパカ,パカパカ
ハキハキ,ハキハキ
はきはき,ハキハキ
バク,バク
パク,パク
パクッ,パクッ
ぱくっ,パクッ
バクバク,バクバク
ばぐばぐ,バクバク
パクパク,パクパク
ぱくぱく,パクパク
ぱくり,パクリ
パクリ,パクリ
パクリッ,パクリッ
ぱくりっ,パクリッ
ばくん,ばくん
バクン,ばくん
パサ,パサ
バサバサ,バサバサ
ばさばさ,バサバサ
パサパサ,パサパサ
ぱさぱさ,パサパサ
パシャ,パシャ
パシャパシャ,パシャパシャ
ぱしゃぱしゃ,パシャパシャ
パシャリ,パシャリ
ぱしゃり,パシャリ
バタ,バタ
バタバタ,バタバタ
ばたばた,バタバタ
パタパタ,パタパタ
ぱたぱた,パタパタ
パチ,パチ
バチバチ,バチバチ
ばちばち,バチバチ
パチパチ,パチパチ
ぱちぱち,パチパチ
ハッ,ハッ
パッ,パッ
ぱっ,パッ
はっきり,はっきり
ハッキリ,はっきり
ばったり,ばったり
バッタリ,ばったり
ぱっぱ,ぱっぱ
パッパ,ぱっぱ
パパ,パパ
ハフハフ,ハフハフ
はふはふ,ハフハフ
バラ,バラ
パラ,パラ
ぱらっ,パラッ
パラッ,パラッ
ハラハラ,ハラハラ
はらはら,ハラハラ
ばらばら,バラバラ
バラバラ,バラバラ
パラパラ,パラパラ
ぱらぱら,パラパラ
バリ,バリ
パリ,パリ
ばりっ,バリッ
バリッ,バリッ
パリッ,パリッ
ぱりっ,パリッ
ぱりっぱり,ぱりっぱり
パリッパリ,ぱりっぱり
バリバリ,バリバリ
ばりばり,バリバリ
ぱりぱり,パリパリ
パリパリ,パリパリ
バン,バン
バンバン,バンバン
ばんばん,バンバン
パンパン,パンパン
ぱんぱん,パンパン
ビー,ビー
びー,ビー
ピカ,ピカ
ピカピカ,ピカピカ
ぴかぴか,ピカピカ
びく,びく
ビクビク,ビクビク
びくびく,ビクビク
ピクリピクリ,ピクリピクリ
ぴくりぴくり,ピクリピクリ
ビシッ,ビシッ
びしっ,ビシッ
ひしひし,ヒシヒシ
ヒシヒシ,ヒシヒシ
ビシビシ,ビシビシ
びしびし,ビシビシ
びしゃびしゃ,びしゃびしゃ
ビシャビシャ,びしゃびしゃ
ひたひた,ヒタヒタ
ヒタヒタ,ヒタヒタ
ピタリ,ピタリ
ぴたり,ピタリ
ピチッ,ピチッ
ぴちっ,ピチッ
ピチピチ,ピチピチ
ぴちぴち,ピチピチ
ピッカピカ,ピッカピカ
ぴっかぴか,ピッカピカ
びっしり,ビッシリ
ビッシリ,ビッシリ
ぴっしり,ぴっしり
ピッシリ,ぴっしり
ひっそり,ひっそり
ヒッソリ,ひっそり
ぴったり,ピッタリ
ピッタリ,ピッタリ
ピッタンコ,ピッタンコ
ぴったんこ,ピッタンコ
びっちり,びっちり
ビッチリ,びっちり
ヒヤヒヤ,ヒヤヒヤ
ひやひや,ヒヤヒヤ
ビュンビュン,ビュンビュン
びゅんびゅん,ビュンビュン
ひょいひょい,ひょいひょい
ヒョイヒョイ,ひょいひょい
ヒラヒラ,ヒラヒラ
ひらひら,ヒラヒラ
ピリッ,ピリッ
ぴりっ,ピリッ
ヒリヒリ,ヒリヒリ
ひりひり,ヒリヒリ
ビリビリ,ビリビリ
びりびり,ビリビリ
ピリピリ,ピリピリ
ぴりぴり,ピリピリ
ピリリ,ピリリ
ぴりり,ピリリ
ピン,ピン
ビンビン,ビンビン
びんびん,ビンビン
ひんやり,ひんやり
ヒンヤリ,ひんやり
ふう,ふう
プー,プー
ぷー,プー
フーッ,フーッ
ふーっ,フーッ
ぷーん,プーン
プーン,プーン
ふかふか,ふかふか
フカフカ,ふかふか
プカプカ,プカプカ
ぷかぷか,プカプカ
プクッ,プクッ
ぷくっ,プクッ
ふくふく,ふくふく
フクフク,ふくふく
ブシャー,ブシャー
ぶしゃー,ブシャー
ぷたぷに,プニプニ
プチプチ,プニプニ
ぷちぷち,プチプチ
フッ,プチプチ
ふっくら,フッ
フックラ,ふっくら
ぷっくり,ふっくら
プックリ,ぷっくり
ブップー,ぷっくり
ぶっぷー,ブップー
ふつふつ,ブップー
フツフツ,ふつふつ
ブツブツ,ふつふつ
ぶつぶつ,ブツブツ
ぷっり,ブツブツ
プッリ,ぷっり
プニプニ,ぷっり
フニャニャニャニャ,フニャニャニャニャ
ふにゃふにゃ,ふにゃふにゃ
フニャフニャ,ふにゃふにゃ
ぶよぶよ,ぶよぶよ
ブヨブヨ,ぶよぶよ
ふらっ,フラッ
フラッ,フラッ
ふらふら,フラフラ
フラフラ,フラフラ
ぶらぶら,ブラブラ
ブラブラ,ブラブラ
ふらり,ふらり
フラリ,ふらり
ぶらり,ぶらり
ブラリ,ぶらり
ぷりっ,プリッ
プリッ,プリッ
プリップリ,プリップリ
ぷりっぷり,プリップリ
ぷりっぷりっ,ぷりっぷりっ
プリップリッ,ぷりっぷりっ
ぷりぷり,プリプリ
プリプリ,プリプリ
ブル,ブル
プルーン,プルーン
ぷるーん,プルーン
ぷるっぷる,ぷるっぷる
プルップル,ぷるっぷる
ふるふる,ふるふる
フルフル,ふるふる
ぷるるんっ,ぷるるんっ
ぶるん,プルン
プルン,プルン
ブレブレ,ブレブレ
ぶれぶれ,ブレブレ
ふわっ,フワッ
フワッ,フワッ
フワッサクッ,フワッサクッ
ふわっさくっ,フワッサクッ
フワッフワ,フワッフワ
ふわっふわ,フワッフワ
フワトロ,フワトロ
ふわとろ,フワトロ
ふわふわ,フワフワ
フワフワ,フワフワ
ふわり,ふわり
フワリ,ふわり
フワワーン,フワワーン
ふわわーん,フワワーン
ぶん,ぶん
プンプン,プンプン
ぷんぷん,プンプン
ふんわり,フンワリ
フンワリ,フンワリ
ベコベコ,ベコベコ
べこべこ,ベコベコ
ぺこぺこ,ペコペコ
ペコペコ,ペコペコ
ペコリ,ペコリ
ぺこり,ペコリ
ベシャベシャ,ベシャベシャ
べしゃべしゃ,ベシャベシャ
ベタ,ベタ
ぺた,ペタ
ペタ,ペタ
べたぁ,ベタァ
ベタァ,ベタァ
べたべた,ベタベタ
ベタベタ,ベタベタ
べたり,べたり
ベタリ,べたり
ベチャ,ベチャ
べちゃ,ベチャ
ペチャクチャ,ペチャクチャ
ぺちゃくちゃ,ペチャクチャ
ベチャッ,ベチャッ
べちゃっ,ベチャッ
べちゃべちゃ,ベチャベチャ
ベチャベチャ,ベチャベチャ
ベチョ,ベチョ
べちょ,ベチョ
ベッタリ,ベッタリ
べったり,ベッタリ
べっとり,べっとり
ベットリ,べっとり
ベトベト,ベトベト
べとべと,ベトベト
ペラッペラ,ペラッペラ
ぺらっぺら,ペラッペラ
ペラペラ,ペラペラ
ぺらぺら,ペラペラ
ぺろっ,ペロッ
ペロッ,ペロッ
へろへろ,へろへろ
ヘロヘロ,へろへろ
ぺろり,ペロリ
ペロリ,ペロリ
ホイホイ,ホイホイ
ほいほい,ホイホイ
ほう,ほう
ボー,ボー
ぼー,ボー
ぼーっ,ぼーっ
ボーッ,ぼーっ
ボーン,ボーン
ぼーん,ボーン
ホカホカ,ホカホカ
ほかほか,ホカホカ
ポカポカ,ポカポカ
ぽかぽか,ポカポカ
ボキ,ボキ
ぼき,ボキ
ホクホク,ホクホク
ほくほく,ホクホク
ホコホコ,ホコホコ
ほこほこ,ホコホコ
ボソッ,ボソッ
ぼそっ,ボソッ
ボソボソ,ボソボソ
ぼそぼそ,ボソボソ
ボタッ,ボタッ
ぼたっ,ボタッ
ポチッ,ポチッ
ぽちっ,ポチッ
ぼちぼち,ボチボチ
ボチボチ,ボチボチ
ポチポチ,ポチポチ
ぽちぽち,ポチポチ
ホッ,ホッ
ポッキリ,ポッキリ
ぽっきり,ポッキリ
ホッコリ,ホッコリ
ほっこり,ホッコリ
ぼってり,ぼってり
ボッテリ,ぼってり
ぽつぽつ,ポツポツ
ポツポツ,ポツポツ
ポツン,ポツン
ぽつん,ポツン
ボテッ,ボテッ
ぼてっ,ボテッ
ほやほや,ほやほや
ホヤホヤ,ほやほや
ポリシャリ,ポリシャリ
ぽりしゃり,ポリシャリ
ボリボリ,ボリボリ
ぼりぼり,ボリボリ
ぽりぽり,ポリポリ
ポリポリ,ポリポリ
ホロ,ホロ
ポロ,ポロ
ほろっ,ホロッ
ホロッ,ホロッ
ホロホロ,ホロホロ
ほろほろ,ホロホロ
ポロポロ,ポロポロ
ぽろぽろ,ポロポロ
ボロリ,ボロリ
ぼろり,ボロリ
ポロリ,ポロリ
ぽろり,ポロリ
ホワッ,ホワッ
ほわっ,ホワッ
ぽん,ポン
ポン,ポン
ほんのり,ほんのり
ホンノリ,ほんのり
ぽんぽん,ポンポン
ポンポン,ポンポン
まったり,まったり
マッタリ,まったり
まるまる,まるまる
マルマル,まるまる
みしみし,ミシミシ
ミシミシ,ミシミシ
みち,みち
みっちり,みっちり
ミッチリ,みっちり
みるみる,みるみる
ミルミル,みるみる
ムシャムシャ,ムシャムシャ
むしゃむしゃ,ムシャムシャ
むちむち,むちむち
ムチムチ,むちむち
ムッ,ムッ
むっちり,むっちり
ムッチリ,むっちり
ムニュ,ムニュ
むにゅ,ムニュ
むむむ,ムムム
ムムム,ムムム
むむむっ,むむむっ
ムムムッ,むむむっ
ムンムン,ムンムン
むんむん,ムンムン
モー,モー
モォー,モォー
もぉー,モォー
モーモー,モーモー
もーもー,モーモー
モクモク,モクモク
もくもく,モクモク
モグモグ,モグモグ
もぐもぐ,モグモグ
モグリ,もぐり
もぐり,もぐり
もさっ,もさっ
モサッ,もさっ
モタモタ,モタモタ
もたもた,モタモタ
もち,もち
モチ,モチ
モチッ,モチッ
もちっ,モチッ
もちもち,モチモチ
モチモチ,モチモチ
モッチモチ,モッチモチ
もっちもち,モッチモチ
もっちり,もっちり
モッチリ,もっちり
モヤモヤ,モヤモヤ
もやもや,モヤモヤ
もりもり,モリモリ
モリモリ,モリモリ
モワーッ,モワーッ
もわーっ,モワーッ
モワッ,モワッ
もわっ,モワッ
もん,もん
やんわり,やんわり
ヤンワリ,やんわり
ゆったり,ゆったり
ユッタリ,ゆったり
ゆるゆる,ゆるゆる
ユルユル,ゆるゆる
ゆるり,ゆるり
ユルリ,ゆるり
りん,りん
りんりん,リンリン
リンリン,リンリン
レアレア,レアレア
れあれあ,レアレア
ワイワイ,ワイワイ
わいわい,ワイワイ
ワクワク,ワクワク
わくわく,ワクワク
わっ,わっ
わんわん,ワンワン
ワンワン,ワンワン
